,date,region,trigger,depth,width
1670,1/14/2020,Salt Lake,Natural,"6""",70'
1671,1/14/2020,Salt Lake,Natural,4',500'
1672,1/14/2020,Salt Lake,Natural,"12""",200'
1673,1/14/2020,Logan,Natural,"10""",60'
1674,1/13/2020,Salt Lake,Natural,,50'
1675,1/13/2020,Logan,Natural,,80'
1676,1/13/2020,Moab,Unknown,,
1677,1/13/2020,Salt Lake,Snowboarder,"8""",70'
1678,1/13/2020,Salt Lake,Skier,,
1679,1/12/2020,Salt Lake,Natural,,
1680,1/12/2020,Salt Lake,Skier,"15""",40'
1681,1/12/2020,Salt Lake,Skier,2',30'
1682,1/11/2020,Salt Lake,Snowboarder,"12""",40'
1683,1/10/2020,Salt Lake,Unknown,,50'
1684,1/10/2020,Uintas,Snowmobiler,,
1685,1/10/2020,Logan,Snowmobiler,"15""",70'
1686,1/10/2020,Logan,Natural,2',50'
1687,1/9/2020,Logan,Natural,"12""",100'
1688,1/9/2020,Logan,Natural,"2""",50'
1689,1/7/2020,Provo,Natural,,
1690,1/7/2020,Salt Lake,Natural,"12""",150'
1691,1/7/2020,Logan,Snowmobiler,2',100'
1692,1/5/2020,Salt Lake,Skier,"12""",175'
1693,1/4/2020,Provo,Snowmobiler,2',100'
1694,1/4/2020,Salt Lake,Skier,"16""",150'
1695,1/4/2020,Salt Lake,Skier,"10""",30'
1696,1/4/2020,Salt Lake,Natural,2',100'
1697,1/4/2020,Salt Lake,Skier,"22""",30'
1698,1/4/2020,Salt Lake,Skier,"6""",25'
1699,1/4/2020,Salt Lake,Natural,,
1700,1/4/2020,Provo,Snowmobiler,2',125'
1701,1/4/2020,Logan,Snowmobiler,2',150'
1702,1/4/2020,Uintas,,,30'
1703,1/4/2020,Uintas,Unknown,,300'
1704,1/3/2020,Provo,Natural,,
1705,1/3/2020,Uintas,Snowmobiler,"5""","1,000'"
1706,1/3/2020,Uintas,Snowmobiler,4',300'
1707,1/3/2020,Salt Lake,Snowboarder,"18""",60'
1708,1/3/2020,Uintas,Snowmobiler,5',800'
1709,1/2/2020,Salt Lake,Natural,,
1710,1/2/2020,Salt Lake,Natural,"12""",150'
1711,1/2/2020,Salt Lake,Skier,"12""",30'
1712,1/2/2020,Salt Lake,Unknown,"14""",40'
1713,1/2/2020,Salt Lake,Skier,"12""",60'
1714,1/1/2020,Salt Lake,Skier,"8""",50'
1715,1/1/2020,Salt Lake,Skier,2.5',100'
1716,1/1/2020,Salt Lake,Skier,"12""",30'
1717,1/1/2020,Ogden,Skier,"4""",35'
1718,1/1/2020,Salt Lake,,,
1719,12/31/2019,Provo,Natural,"5""",50'
1720,12/31/2019,Salt Lake,Unknown,2',100'
1721,12/30/2019,Logan,Skier,"10""",25'
1722,12/30/2019,Southwest,Natural,"12""",100'
1723,12/29/2019,Salt Lake,Unknown,"22""",200'
1724,12/29/2019,Moab,Natural,,150'
1725,12/28/2019,Ogden,Natural,"8""",10'
1726,12/28/2019,Salt Lake,Snowboarder,"10""",90'
1727,12/27/2019,Ogden,Snowboarder,,20'
1728,12/25/2019,Salt Lake,Skier,"8""",100'
1729,12/25/2019,Salt Lake,Natural,"12""",300'
1730,12/25/2019,Salt Lake,Snowboarder,"12""",200'
1731,12/22/2019,Salt Lake,Skier,2.5',45'
1732,12/21/2019,Ogden,Skier,"4""",15'
1733,12/21/2019,Salt Lake,Natural,,100'
1734,12/19/2019,Salt Lake,Unknown,2',200'
1735,12/17/2019,Salt Lake,Skier,"10""",80'
1736,12/17/2019,Uintas,Natural,5',150'
1737,12/16/2019,Salt Lake,Unknown,2.5',350'
1738,12/16/2019,Uintas,Natural,4',300'
1739,12/16/2019,Salt Lake,Unknown,2',
1740,12/16/2019,Salt Lake,Skier,,
1741,12/15/2019,Salt Lake,Natural,"20""",175'
1742,12/15/2019,Uintas,Skier,4.5',125'
1743,12/15/2019,Salt Lake,,,25'
1744,12/15/2019,Salt Lake,Snowboarder,2',100'
1745,12/14/2019,Logan,Natural,,150'
1746,12/14/2019,Salt Lake,Natural,2',90'
1747,12/14/2019,Logan,Unknown,3.5',175'
1748,12/14/2019,Salt Lake,Skier,"12""",70'
1749,12/14/2019,Logan,Natural,3',
1750,12/14/2019,Salt Lake,Skier,"10""",175'
1751,12/14/2019,Logan,Natural,3.5',600'
1752,12/14/2019,Salt Lake,Unknown,"8""",300'
1753,12/14/2019,Logan,Natural,4',600'
1754,12/14/2019,Salt Lake,,3',50'
1755,12/14/2019,Logan,Natural,4',400'
1756,12/14/2019,Uintas,Skier,"1""",100'
1757,12/14/2019,Logan,Natural,,60'
1758,12/14/2019,Logan,Skier,"12""",20'
1759,12/14/2019,Salt Lake,Natural,,
1760,12/14/2019,Uintas,Natural,2.5',600'
1761,12/14/2019,Logan,Hiker,"8""",10'
1762,12/14/2019,Uintas,Natural,2.5',800'
1763,12/14/2019,Salt Lake,Skier,"18""",300'
1764,12/14/2019,Salt Lake,Natural,,500'
1765,12/14/2019,Salt Lake,Skier,2',"1,500'"
1766,12/14/2019,Ogden,Natural,,
1767,12/14/2019,Salt Lake,Natural,"15""",200'
1768,12/13/2019,Uintas,Unknown,3.5',50'
1769,12/13/2019,Salt Lake,Natural,"20""",80'
1770,12/13/2019,Salt Lake,Skier,3',90'
1771,12/13/2019,Salt Lake,Skier,2.5',50'
1772,12/12/2019,Salt Lake,Skier,"8""",20'
1773,12/10/2019,Salt Lake,Natural,2',50'
1774,12/10/2019,Salt Lake,Natural,,45'
1775,12/9/2019,Salt Lake,Skier,,30'
1776,12/8/2019,Salt Lake,Skier,"20""",
1777,12/7/2019,Logan,Snowmobiler,"15""",50'
1778,12/7/2019,Salt Lake,Snowboarder,2',200'
1779,12/6/2019,Salt Lake,Unknown,,
1780,12/5/2019,Salt Lake,Skier,"4""",50'
1781,12/5/2019,Salt Lake,Snowboarder,3',40'
1782,12/3/2019,Salt Lake,Natural,2.5',80'
1783,12/3/2019,Logan,Skier,2',150'
1784,12/2/2019,Skyline,Skier,2.5',150'
1785,12/2/2019,Salt Lake,Snowboarder,2',50'
1786,12/1/2019,Logan,Natural,"12""",300'
1787,12/1/2019,Salt Lake,Skier,,
1788,12/1/2019,Salt Lake,Unknown,,
1789,12/1/2019,Skyline,Skier,3',200'
1790,11/30/2019,Moab,Unknown,"12""",200'
1791,11/30/2019,Salt Lake,Natural,2',200'
1792,11/30/2019,Salt Lake,Natural,,400'
1793,11/30/2019,Salt Lake,Natural,3',200'
1794,11/30/2019,Uintas,Natural,3',800'
1795,11/30/2019,Salt Lake,Skier,3.5',500'
1796,11/30/2019,Salt Lake,Unknown,,"1,000'"
1797,11/30/2019,Skyline,Snowmobiler,2',100'
1798,11/30/2019,Skyline,Skier,3',150'
1799,11/30/2019,Skyline,Snowmobiler,2.5',90'
1800,11/30/2019,Salt Lake,Natural,,
1801,11/30/2019,Skyline,Natural,3',300'
1802,11/29/2019,Salt Lake,Skier,2.5',125'
1803,11/29/2019,Salt Lake,Skier,2.5',250'
1804,11/29/2019,Salt Lake,Skier,2',80'
1805,11/29/2019,Salt Lake,Hiker,"6""",20'
1806,11/29/2019,Uintas,Natural,3',"1,000'"
1807,11/29/2019,Salt Lake,Skier,"20""",400'
1808,11/29/2019,Salt Lake,Natural,"18""",500'
1809,11/29/2019,Salt Lake,Natural,2',
1810,11/29/2019,Salt Lake,Natural,2.5',100'
1811,11/29/2019,Salt Lake,Natural,"12""",100'
1812,11/29/2019,Salt Lake,Natural,3.5',250'
1813,11/29/2019,Salt Lake,Skier,2.5',30'
1814,11/29/2019,Salt Lake,Natural,,
1815,11/29/2019,Salt Lake,Natural,,
1816,11/29/2019,Salt Lake,Natural,,
1817,11/29/2019,Salt Lake,Natural,"20""",400'
1818,11/28/2019,Skyline,Natural,2',80'
1819,11/28/2019,Salt Lake,Natural,,
1820,11/28/2019,Salt Lake,Natural,,
1821,11/28/2019,Salt Lake,Natural,,200'
1822,11/28/2019,Salt Lake,Natural,,
1823,11/28/2019,Salt Lake,Skier,3',400'
1824,11/28/2019,Salt Lake,,3',50'
1825,11/28/2019,Salt Lake,Skier,"16""",200'
1826,11/28/2019,Skyline,Natural,2',250'
1827,11/28/2019,Skyline,Natural,2',100'
1828,11/27/2019,Salt Lake,Natural,2',150'
1829,11/27/2019,Salt Lake,Skier,"12""",30'
1830,11/27/2019,Salt Lake,Snowboarder,"12""",15'
1831,11/25/2019,Salt Lake,Skier,"6""",20'
1832,10/29/2019,Salt Lake,Skier,"14""",5'
1833,10/27/2019,Salt Lake,Natural,"10""",30'
1834,6/7/2019,Uintas,Natural,2.5',400'
1835,6/6/2019,Uintas,Natural,2.5',400'
1836,6/3/2019,Salt Lake,Natural,"8""",
1837,6/1/2019,Salt Lake,Skier,"8""",
1838,5/24/2019,Salt Lake,Skier,"10""",30'
1839,5/24/2019,Salt Lake,Skier,"6""",
1840,5/24/2019,Salt Lake,Skier,2',500'
1841,5/24/2019,Salt Lake,Skier,"10""",200'
1842,5/24/2019,Salt Lake,Skier,"6""",
1843,5/24/2019,Salt Lake,Natural,,
1844,5/23/2019,Salt Lake,Skier,"8""",70'
1845,5/23/2019,Salt Lake,Skier,"12""",150'
1846,5/22/2019,Salt Lake,Skier,"20""",60'
1847,5/19/2019,Salt Lake,,,
1848,5/18/2019,Uintas,Unknown,,300'
1849,5/1/2019,Logan,Natural,,
1850,4/26/2019,Uintas,Natural,5',200'
1851,4/23/2019,Salt Lake,Skier,"18""",200'
1852,4/19/2019,Salt Lake,Skier,,20'
1853,4/19/2019,Logan,Skier,,
1854,4/18/2019,Ogden,Natural,,
1855,4/18/2019,Ogden,Natural,,
1856,4/18/2019,Provo,Unknown,,
1857,4/17/2019,Salt Lake,Skier,"5""",40'
1858,4/17/2019,Salt Lake,Natural,"12""",45'
1859,4/16/2019,Salt Lake,Skier,"12""",30'
1860,4/16/2019,Salt Lake,Snowboarder,"2""",35'
1861,4/16/2019,Salt Lake,Natural,"12""",100'
1862,4/16/2019,Salt Lake,Skier,"8""",800'
1863,4/15/2019,Salt Lake,Natural,,30'
1864,4/15/2019,Salt Lake,Skier,"12""",30'
1865,4/14/2019,Salt Lake,Natural,"6""",10'
1866,4/14/2019,Salt Lake,Skier,"20""",125'
1867,4/13/2019,Salt Lake,Natural,,100'
1868,4/13/2019,Salt Lake,Skier,4',400'
1869,4/13/2019,Salt Lake,Natural,"10""",50'
1870,4/12/2019,Salt Lake,Skier,"15""",
1871,4/12/2019,Salt Lake,Snowboarder,"6""",60'
1872,4/12/2019,Salt Lake,Skier,"18""",60'
1873,4/11/2019,Salt Lake,Skier,2',70'
1874,4/11/2019,Salt Lake,Snowboarder,"12""",30'
1875,4/11/2019,Provo,Skier,"4""",20'
1876,4/10/2019,Salt Lake,Skier,"6""",50'
1877,4/10/2019,Salt Lake,Natural,"10""",30'
1878,4/10/2019,Salt Lake,Skier,"4""",80'
1879,4/10/2019,Salt Lake,Skier,"8""",30'
1880,4/10/2019,Salt Lake,Skier,"8""",40'
1881,4/10/2019,Logan,Natural,,150'
1882,4/9/2019,Salt Lake,Natural,5',90'
1883,4/9/2019,Salt Lake,Natural,,
1884,4/9/2019,Skyline,Natural,5',"3,500'"
1885,4/8/2019,Salt Lake,Natural,,
1886,4/7/2019,Salt Lake,Natural,,200'
1887,4/6/2019,Salt Lake,Skier,"6""",10'
1888,4/6/2019,Provo,Natural,"6""",100'
1889,4/5/2019,Salt Lake,Natural,10',300'
1890,4/5/2019,Salt Lake,Natural,,
1891,4/5/2019,Skyline,Natural,,
1892,4/4/2019,Salt Lake,Natural,,
1893,4/3/2019,Logan,Natural,,300'
1894,4/3/2019,Salt Lake,Skier,"8""",350'
1895,4/3/2019,Salt Lake,Natural,,
1896,4/3/2019,Salt Lake,Natural,,300'
1897,4/3/2019,Salt Lake,Skier,"4""",10'
1898,3/31/2019,Salt Lake,Natural,2.5',150'
1899,3/31/2019,Salt Lake,Skier,"8""",30'
1900,3/31/2019,Ogden,Skier,"10""",100'
1901,3/31/2019,Ogden,Skier,"14""",30'
1902,3/30/2019,Salt Lake,Natural,3',100'
1903,3/30/2019,Salt Lake,Skier,"10""",150'
1904,3/30/2019,Salt Lake,Skier,"10""",25'
1905,3/30/2019,Salt Lake,Skier,"6""",30'
1906,3/30/2019,Salt Lake,Natural,,
1907,3/30/2019,Logan,Snowmobiler,"20""",60'
1908,3/30/2019,Ogden,Snowboarder,"12""",300'
1909,3/30/2019,Logan,Snow Bike,2',500'
1910,3/29/2019,Salt Lake,Skier,"14""",50'
1911,3/29/2019,Ogden,Skier,"10""",300'
1912,3/29/2019,Salt Lake,Skier,"12""",45'
1913,3/29/2019,Logan,Skier,"4""",5'
1914,3/29/2019,Salt Lake,Skier,"5""",30'
1915,3/29/2019,Ogden,,,
1916,3/29/2019,Salt Lake,Skier,"8""",50'
1917,3/29/2019,Salt Lake,Natural,"18""",200'
1918,3/29/2019,Salt Lake,Natural,2',60'
1919,3/29/2019,Logan,Snowboarder,"6""",10'
1920,3/29/2019,Logan,,,
1921,3/26/2019,Salt Lake,Skier,"20""",80'
1922,3/26/2019,Salt Lake,Skier,"8""",30'
1923,3/26/2019,Logan,Snow Bike,"10""",50'
1924,3/26/2019,Salt Lake,Natural,,100'
1925,3/25/2019,Logan,Snowboarder,2.5',40'
1926,3/25/2019,Uintas,Natural,"18""",200'
1927,3/25/2019,Ogden,Unknown,"12""",50'
1928,3/25/2019,Ogden,Skier,2',150'
1929,3/24/2019,Salt Lake,Skier,"8""",40'
1930,3/24/2019,Salt Lake,Skier,"12""","1,000'"
1931,3/24/2019,Salt Lake,Skier,"4""",40'
1932,3/24/2019,Salt Lake,Skier,"6""",
1933,3/24/2019,Salt Lake,Natural,"10""",
1934,3/24/2019,Salt Lake,Skier,"12""",150'
1935,3/24/2019,Salt Lake,Skier,"6""",30'
1936,3/24/2019,Salt Lake,Skier,"12""",20'
1937,3/24/2019,Salt Lake,Skier,"12""",25'
1938,3/24/2019,Salt Lake,Natural,"12""",150'
1939,3/24/2019,Provo,Natural,,
1940,3/24/2019,Salt Lake,Skier,"8""",20'
1941,3/24/2019,Salt Lake,Skier,3',
1942,3/24/2019,Salt Lake,Skier,"6""",50'
1943,3/24/2019,Salt Lake,Skier,"10""",50'
1944,3/24/2019,Salt Lake,Skier,"6""",
1945,3/24/2019,Salt Lake,Snowboarder,,20'
1946,3/23/2019,Provo,Unknown,,
1947,3/23/2019,Skyline,Natural,3',60'
1948,3/23/2019,Salt Lake,Natural,,60'
1949,3/23/2019,Salt Lake,Natural,,
1950,3/23/2019,Salt Lake,Skier,"12""",
1951,3/23/2019,SE Idaho,Skier,"12""",150'
1952,3/22/2019,Logan,Snowboarder,"8""",50'
1953,3/21/2019,Salt Lake,Skier,"6""",80'
1954,3/20/2019,Salt Lake,Skier,,50'
1955,3/20/2019,Ogden,Skier,,
1956,3/19/2019,Salt Lake,Natural,,700'
1957,3/18/2019,Uintas,Natural,2',100'
1958,3/18/2019,SE Idaho,Unknown,,
1959,3/18/2019,Salt Lake,Natural,,
1960,3/16/2019,Ogden,,"7""",200'
1961,3/16/2019,Salt Lake,Skier,"4""",80'
1962,3/16/2019,Provo,Natural,6',500'
1963,3/16/2019,Salt Lake,Natural,,
1964,3/16/2019,Salt Lake,Skier,"6""",15'
1965,3/16/2019,Salt Lake,Skier,"1""",50'
1966,3/15/2019,Salt Lake,Natural,,50'
1967,3/15/2019,Logan,Snowboarder,2',25'
1968,3/15/2019,Salt Lake,Natural,"14""",300'
1969,3/15/2019,Provo,Unknown,,
1970,3/15/2019,Salt Lake,Natural,2',300'
1971,3/14/2019,Salt Lake,Skier,2.5',50'
1972,3/14/2019,Salt Lake,Skier,"20""",150'
1973,3/14/2019,Logan,Snowmobiler,"8""",40'
1974,3/14/2019,Salt Lake,Skier,"12""",20'
1975,3/14/2019,Salt Lake,Skier,2',100'
1976,3/13/2019,Abajos,Natural,2',100'
1977,3/13/2019,Moab,Natural,,900'
1978,3/13/2019,Moab,Natural,,500'
1979,3/13/2019,Moab,Natural,4',50'
1980,3/13/2019,Moab,Natural,,"1,500'"
1981,3/13/2019,Moab,Natural,,"1,500'"
1982,3/13/2019,Moab,Natural,,500'
1983,3/13/2019,Moab,Natural,,"1,500'"
1984,3/13/2019,Moab,Natural,,500'
1985,3/13/2019,Moab,Natural,,700'
1986,3/13/2019,Moab,Natural,,350'
1987,3/13/2019,Moab,Natural,,300'
1988,3/13/2019,Moab,Natural,,400'
1989,3/13/2019,Moab,Natural,,
1990,3/13/2019,Moab,Natural,,300'
1991,3/13/2019,Moab,Natural,,"2,500'"
1992,3/13/2019,Salt Lake,Skier,"18""",35'
1993,3/11/2019,Salt Lake,Snowboarder,"8""",30'
1994,3/11/2019,Salt Lake,Unknown,"2""",100'
1995,3/11/2019,Salt Lake,Natural,,20'
1996,3/11/2019,Salt Lake,Skier,"8""",30'
1997,3/10/2019,Salt Lake,Skier,"14""",50'
1998,3/9/2019,Salt Lake,Skier,"12""",40'
1999,3/9/2019,Salt Lake,Skier,2',300'
2000,3/9/2019,Logan,Snowmobiler,2',200'
2001,3/9/2019,Ogden,Skier,"18""",
2002,3/9/2019,Logan,Snowmobiler,2',250'
2003,3/9/2019,Logan,Natural,,
2004,3/8/2019,Salt Lake,Skier,"21""",
2005,3/8/2019,Moab,Natural,6',"2,500'"
2006,3/8/2019,Salt Lake,Snowboarder,"6""",200'
2007,3/8/2019,Salt Lake,Skier,"14""",80'
2008,3/8/2019,Provo,Unknown,,
2009,3/8/2019,Ogden,Skier,2',100'
2010,3/8/2019,Logan,Natural,"8""",50'
2011,3/7/2019,Salt Lake,Skier,"10""",80'
2012,3/7/2019,Salt Lake,Skier,2',300'
2013,3/7/2019,Salt Lake,Skier,"16""",30'
2014,3/7/2019,Salt Lake,Skier,"12""","2,500'"
2015,3/7/2019,Salt Lake,Natural,"10""",300'
2016,3/7/2019,Salt Lake,Natural,"20""",300'
2017,3/7/2019,Skyline,Natural,3',250'
2018,3/7/2019,Salt Lake,Skier,"8""",30'
2019,3/7/2019,Salt Lake,Skier,"8""",
2020,3/7/2019,Logan,Natural,,100'
2021,3/7/2019,Logan,Natural,"12""",200'
2022,3/7/2019,Salt Lake,Skier,"7""",125'
2023,3/6/2019,Skyline,Natural,,
2024,3/6/2019,Salt Lake,,"16""",45'
2025,3/6/2019,Provo,Natural,,
2026,3/6/2019,Salt Lake,Natural,,
2027,3/5/2019,Salt Lake,Snowmobiler,2.5',
2028,3/5/2019,Southwest,Snowmobiler,10',800'
2029,3/4/2019,Salt Lake,Natural,"4""",60'
2030,3/4/2019,Salt Lake,Skier,"6""",20'
2031,3/4/2019,Salt Lake,Skier,"10""",80'
2032,3/4/2019,Salt Lake,Natural,"4""",
2033,3/4/2019,Salt Lake,Unknown,"4""",
2034,3/3/2019,Salt Lake,Snowshoer,"8""",
2035,3/3/2019,Salt Lake,Natural,"8""",10'
2036,3/3/2019,Salt Lake,Skier,"6""",
2037,3/3/2019,Salt Lake,Natural,"4""",50'
2038,3/3/2019,Salt Lake,Skier,"6""",30'
2039,3/3/2019,Salt Lake,Natural,,
2040,3/3/2019,Salt Lake,Skier,"5""",40'
2041,3/3/2019,Salt Lake,Skier,"6""",40'
2042,3/3/2019,Southwest,Snowboarder,"12""",200'
2043,3/2/2019,Uintas,Skier,"6""",20'
2044,3/2/2019,Provo,Unknown,,40'
2045,3/2/2019,Salt Lake,Skier,"4""",50'
2046,3/1/2019,Southwest,,,
2047,2/27/2019,Ogden,Natural,,
2048,2/26/2019,Salt Lake,Skier,"5""",40'
2049,2/26/2019,Salt Lake,Snowboarder,"6""",60'
2050,2/26/2019,Salt Lake,Unknown,"6""",30'
2051,2/25/2019,Southwest,,,
2052,2/25/2019,Uintas,Unknown,,
2053,2/25/2019,Logan,Natural,4',400'
2054,2/25/2019,Ogden,Skier,"12""",100'
2055,2/25/2019,Salt Lake,Skier,"14""",100'
2056,2/25/2019,Logan,Natural,"18""",100'
2057,2/24/2019,Uintas,Unknown,,300'
2058,2/24/2019,Ogden,Skier,"6""",30'
2059,2/24/2019,Uintas,Natural,8',200'
2060,2/24/2019,Salt Lake,Snowboarder,,15'
2061,2/23/2019,Ogden,Unknown,2',100'
2062,2/22/2019,Provo,Natural,,300'
2063,2/20/2019,Salt Lake,Skier,"6""",50'
2064,2/20/2019,Salt Lake,Skier,"6""",200'
2065,2/19/2019,Salt Lake,,,
2066,2/19/2019,Moab,Snowmobiler,2.5',175'
2067,2/18/2019,Skyline,Natural,2.5',350'
2068,2/18/2019,Skyline,Natural,4.5',45'
2069,2/17/2019,Provo,,,
2070,2/17/2019,Salt Lake,Snowboarder,"12""",500'
2071,2/17/2019,Skyline,Unknown,,
2072,2/17/2019,Uintas,Snowmobiler,6',"1,000'"
2073,2/16/2019,Salt Lake,Skier,5',150'
2074,2/16/2019,Salt Lake,Skier,3',200'
2075,2/16/2019,Skyline,Snowmobiler,,
2076,2/16/2019,Salt Lake,Skier,2',300'
2077,2/16/2019,Skyline,Natural,,
2078,2/15/2019,Logan,Natural,"6""",100'
2079,2/15/2019,Uintas,Natural,4.5',250'
2080,2/15/2019,Provo,Natural,,
2081,2/15/2019,Salt Lake,Skier,"18""",250'
2082,2/15/2019,Logan,Natural,7',"1,000'"
2083,2/15/2019,Ogden,Natural,"15""",30'
2084,2/15/2019,Logan,Natural,,
2085,2/15/2019,Skyline,Natural,,
2086,2/15/2019,Skyline,Natural,,
2087,2/15/2019,Ogden,Natural,,
2088,2/15/2019,Skyline,Snowmobiler,"3""","1,000'"
2089,2/15/2019,Skyline,Natural,,
2090,2/15/2019,Skyline,Natural,,
2091,2/15/2019,Uintas,Natural,6',"1,500'"
2092,2/15/2019,Provo,Natural,4',"1,500'"
2093,2/14/2019,Salt Lake,Skier,"10""",200'
2094,2/14/2019,Provo,Natural,,50'
2095,2/14/2019,Skyline,Natural,,
2096,2/14/2019,SE Idaho,Natural,"6""",20'
2097,2/14/2019,Logan,Natural,"10""",100'
2098,2/14/2019,Salt Lake,Unknown,,
2099,2/14/2019,Salt Lake,Skier,"6""",50'
2100,2/14/2019,Provo,,,
2101,2/14/2019,Logan,Natural,"16""",300'
2102,2/14/2019,Provo,Natural,,
2103,2/14/2019,Salt Lake,Natural,2.5',200'
2104,2/14/2019,Salt Lake,Natural,"10""",100'
2105,2/14/2019,Logan,Natural,,250'
2106,2/14/2019,Salt Lake,Natural,,
2107,2/14/2019,Logan,Natural,,
2108,2/14/2019,Logan,Natural,"12""",45'
2109,2/14/2019,Ogden,Natural,,
2110,2/14/2019,Logan,Natural,"14""",90'
2111,2/14/2019,Skyline,Natural,2',400'
2112,2/14/2019,Salt Lake,Natural,"6""",60'
2113,2/14/2019,Logan,Natural,"14""",400'
2114,2/14/2019,Salt Lake,Natural,"8""",70'
2115,2/14/2019,Provo,Natural,3',600'
2116,2/14/2019,Salt Lake,Natural,"14""",
2117,2/14/2019,Salt Lake,Natural,"6""",300'
2118,2/13/2019,Logan,Natural,,
2119,2/12/2019,Provo,Skier,2.5',150'
2120,2/11/2019,Logan,Natural,4',250'
2121,2/10/2019,Salt Lake,Natural,2',250'
2122,2/10/2019,Salt Lake,Natural,,
2123,2/9/2019,Provo,Unknown,,450'
2124,2/9/2019,Uintas,Snowmobiler,5.5',"1,000'"
2125,2/9/2019,Uintas,Snowmobiler,2.5',300'
2126,2/9/2019,Uintas,Snow Bike,,
2127,2/8/2019,Salt Lake,Skier,2',100'
2128,2/8/2019,Salt Lake,,,
2129,2/8/2019,Salt Lake,Unknown,,60'
2130,2/8/2019,Salt Lake,Skier,"3""",100'
2131,2/8/2019,Provo,Natural,,
2132,2/8/2019,Salt Lake,Skier,"8""",50'
2133,2/8/2019,Salt Lake,Natural,"12""",50'
2134,2/8/2019,Southwest,Snowmobiler,,
2135,2/8/2019,Uintas,Snowmobiler,"14""",40'
2136,2/8/2019,Ogden,Skier,4',300'
2137,2/7/2019,Salt Lake,Skier,"6""",
2138,2/7/2019,Ogden,Natural,,
2139,2/7/2019,Skyline,Natural,,
2140,2/7/2019,Salt Lake,Natural,,
2141,2/7/2019,Salt Lake,Skier,"18""",250'
2142,2/7/2019,Uintas,Natural,4',"1,500'"
2143,2/7/2019,Uintas,Natural,8',80'
2144,2/7/2019,Salt Lake,Skier,"12""",100'
2145,2/7/2019,Southwest,Snowmobiler,,800'
2146,2/7/2019,Logan,Natural,,
2147,2/6/2019,Salt Lake,Natural,,
2148,2/6/2019,Salt Lake,Natural,,
2149,2/6/2019,Provo,Natural,,"1,000'"
2150,2/6/2019,Salt Lake,Natural,,
2151,2/6/2019,Salt Lake,Natural,,
2152,2/6/2019,Uintas,Natural,2.5',150'
2153,2/6/2019,Uintas,Natural,4',"1,000'"
2154,2/6/2019,Salt Lake,Natural,4',300'
2155,2/5/2019,Salt Lake,Natural,,50'
2156,2/5/2019,Salt Lake,Natural,8',"1,500'"
2157,2/5/2019,Salt Lake,Skier,"10""",10'
2158,2/5/2019,Uintas,Natural,,
2159,2/5/2019,Salt Lake,Natural,,
2160,2/5/2019,Salt Lake,Natural,,
2161,2/5/2019,Salt Lake,Skier,10',200'
2162,2/5/2019,Salt Lake,Snowboarder,4',60'
2163,2/5/2019,Salt Lake,Natural,4.5',"1,000'"
2164,2/4/2019,Logan,Natural,,
2165,2/4/2019,Salt Lake,Skier,2',60'
2166,2/4/2019,Salt Lake,Skier,3',200'
2167,2/4/2019,,Natural,5.5',500'
2168,2/3/2019,Logan,Natural,"12""",25'
2169,2/3/2019,Salt Lake,Snowmobiler,,
2170,2/3/2019,Salt Lake,Snowboarder,2',300'
2171,2/3/2019,Logan,Natural,"12""",25'
2172,2/3/2019,Uintas,Natural,"6""",50'
2173,2/2/2019,Provo,Snowboarder,,50'
2174,2/2/2019,Salt Lake,Natural,,
2175,2/2/2019,Provo,Natural,5',60'
2176,2/2/2019,Provo,Natural,,
2177,2/2/2019,Salt Lake,Snowboarder,"6""",40'
2178,2/2/2019,Salt Lake,Natural,,10'
2179,2/1/2019,Skyline,Snowmobiler,,
2180,1/31/2019,Logan,Snowmobiler,3',200'
2181,1/27/2019,Logan,Natural,,125'
2182,1/27/2019,Salt Lake,Unknown,,
2183,1/27/2019,Salt Lake,Natural,,30'
2184,1/26/2019,Uintas,,3',30'
2185,1/26/2019,Skyline,Snowmobiler,,
2186,1/26/2019,Skyline,Natural,,
2187,1/26/2019,Skyline,Snowmobiler,,
2188,1/26/2019,Skyline,,,
2189,1/26/2019,Uintas,Snowmobiler,3',100'
2190,1/26/2019,Uintas,Snowmobiler,"5""",300'
2191,1/26/2019,Ogden,Natural,,
2192,1/25/2019,Skyline,Snowmobiler,,
2193,1/25/2019,Uintas,Snowmobiler,3',400'
2194,1/25/2019,Skyline,Natural,3',250'
2195,1/25/2019,Moab,Snowmobiler,4',900'
2196,1/25/2019,Salt Lake,Snowboarder,"14""",70'
2197,1/25/2019,Skyline,Snowmobiler,4.5',150'
2198,1/25/2019,Salt Lake,Snowboarder,,
2199,1/24/2019,Skyline,Natural,2',800'
2200,1/24/2019,Salt Lake,Natural,3',
2201,1/23/2019,Salt Lake,Skier,"16""",20'
2202,1/23/2019,Salt Lake,Natural,"12""",40'
2203,1/23/2019,Provo,,,
2204,1/23/2019,Salt Lake,Natural,,80'
2205,1/23/2019,Moab,Natural,,250'
2206,1/22/2019,Uintas,Snowmobiler,2.5',250'
2207,1/22/2019,Provo,Natural,2.5',200'
2208,1/22/2019,Uintas,,,"1,000'"
2209,1/22/2019,Uintas,Snowmobiler,2.5',300'
2210,1/22/2019,Uintas,Skier,3',50'
2211,1/22/2019,Salt Lake,Natural,"6""",20'
2212,1/22/2019,Uintas,Snowmobiler,4',"1,500'"
